MTU (CET/CEST),Area,Total Generation Forecast (MW),Total Actual Generation (MW)
02/01/2025 16:45:00 - 02/01/2025 17:00:00,BZN|NL,12381.82,16573.04
02/01/2025 17:00:00 - 02/01/2025 17:15:00,BZN|NL,12522.72,16880.13
02/01/2025 17:15:00 - 02/01/2025 17:30:00,BZN|NL,12753.16,16961.42
02/01/2025 17:30:00 - 02/01/2025 17:45:00,BZN|NL,12755.96,17163.39
02/01/2025 17:45:00 - 02/01/2025 18:00:00,BZN|NL,12747.57,17302.49
02/01/2025 18:00:00 - 02/01/2025 18:15:00,BZN|NL,12994.52,17521.88
02/01/2025 18:15:00 - 02/01/2025 18:30:00,BZN|NL,12961.46,17613.76
02/01/2025 18:30:00 - 02/01/2025 18:45:00,BZN|NL,12880.7,17500.66
02/01/2025 18:45:00 - 02/01/2025 19:00:00,BZN|NL,12874.17,17487.73
02/01/2025 19:00:00 - 02/01/2025 19:15:00,BZN|NL,13031.53,17007.5
02/01/2025 19:15:00 - 02/01/2025 19:30:00,BZN|NL,13056.67,16815.6
02/01/2025 19:30:00 - 02/01/2025 19:45:00,BZN|NL,13050.19,16718.88
02/01/2025 19:45:00 - 02/01/2025 20:00:00,BZN|NL,13021.6,16665.08
02/01/2025 20:00:00 - 02/01/2025 20:15:00,BZN|NL,12903.51,16229.73
02/01/2025 20:15:00 - 02/01/2025 20:30:00,BZN|NL,12901.32,16102.37
02/01/2025 20:30:00 - 02/01/2025 20:45:00,BZN|NL,12835.58,16155.35
02/01/2025 20:45:00 - 02/01/2025 21:00:00,BZN|NL,12732.67,15744.7
02/01/2025 21:00:00 - 02/01/2025 21:15:00,BZN|NL,12711.86,15112.91
02/01/2025 21:15:00 - 02/01/2025 21:30:00,BZN|NL,12648.81,15085.78
02/01/2025 21:30:00 - 02/01/2025 21:45:00,BZN|NL,12551.13,14765.49
02/01/2025 21:45:00 - 02/01/2025 22:00:00,BZN|NL,12444.38,14623.28
02/01/2025 22:00:00 - 02/01/2025 22:15:00,BZN|NL,12433.72,14348.71
02/01/2025 22:15:00 - 02/01/2025 22:30:00,BZN|NL,12419.41,14394.23
02/01/2025 22:30:00 - 02/01/2025 22:45:00,BZN|NL,12304.54,14037.49
02/01/2025 22:45:00 - 02/01/2025 23:00:00,BZN|NL,12131.81,13838.04
02/01/2025 23:00:00 - 02/01/2025 23:15:00,BZN|NL,11850.32,13374.86
02/01/2025 23:15:00 - 02/01/2025 23:30:00,BZN|NL,11677.9,12800.85
02/01/2025 23:30:00 - 02/01/2025 23:45:00,BZN|NL,11539.25,12630.96
02/01/2025 23:45:00 - 03/01/2025 00:00:00,BZN|NL,11316.77,12324.32
03/01/2025 00:00:00 - 03/01/2025 00:15:00,BZN|NL,10028.27,11948.24
03/01/2025 00:15:00 - 03/01/2025 00:30:00,BZN|NL,9988.64,11525.27
03/01/2025 00:30:00 - 03/01/2025 00:45:00,BZN|NL,10001.4,11040.22
03/01/2025 00:45:00 - 03/01/2025 01:00:00,BZN|NL,9934.92,10845.52
03/01/2025 01:00:00 - 03/01/2025 01:15:00,BZN|NL,9964.2,11085.47
03/01/2025 01:15:00 - 03/01/2025 01:30:00,BZN|NL,9930.77,11442.91
03/01/2025 01:30:00 - 03/01/2025 01:45:00,BZN|NL,9865.56,11230.75
03/01/2025 01:45:00 - 03/01/2025 02:00:00,BZN|NL,9760.15,11062.49
03/01/2025 02:00:00 - 03/01/2025 02:15:00,BZN|NL,9806.31,11023.96
03/01/2025 02:15:00 - 03/01/2025 02:30:00,BZN|NL,9799.31,11006.61
03/01/2025 02:30:00 - 03/01/2025 02:45:00,BZN|NL,9802.88,10778.08
03/01/2025 02:45:00 - 03/01/2025 03:00:00,BZN|NL,9718.08,10780.67
03/01/2025 03:00:00 - 03/01/2025 03:15:00,BZN|NL,9695.12,10719.83
03/01/2025 03:15:00 - 03/01/2025 03:30:00,BZN|NL,9664.7,10658.84
03/01/2025 03:30:00 - 03/01/2025 03:45:00,BZN|NL,9553.33,10826.91
03/01/2025 03:45:00 - 03/01/2025 04:00:00,BZN|NL,9509.59,11076.43
03/01/2025 04:00:00 - 03/01/2025 04:15:00,BZN|NL,9554.41,11052.25
03/01/2025 04:15:00 - 03/01/2025 04:30:00,BZN|NL,9586.39,11081.2
03/01/2025 04:30:00 - 03/01/2025 04:45:00,BZN|NL,9650.32,11015.41
03/01/2025 04:45:00 - 03/01/2025 05:00:00,BZN|NL,9640.23,11050.92
03/01/2025 05:00:00 - 03/01/2025 05:15:00,BZN|NL,9595.66,11561.69
03/01/2025 05:15:00 - 03/01/2025 05:30:00,BZN|NL,9742.36,11746.08
03/01/2025 05:30:00 - 03/01/2025 05:45:00,BZN|NL,9928.04,11994.58
03/01/2025 05:45:00 - 03/01/2025 06:00:00,BZN|NL,10186.02,12170.94
03/01/2025 06:00:00 - 03/01/2025 06:15:00,BZN|NL,10432.25,12495.71
03/01/2025 06:15:00 - 03/01/2025 06:30:00,BZN|NL,10812.72,12799.79
03/01/2025 06:30:00 - 03/01/2025 06:45:00,BZN|NL,10967.4,12913.71
03/01/2025 06:45:00 - 03/01/2025 07:00:00,BZN|NL,11221.01,13171.1
03/01/2025 07:00:00 - 03/01/2025 07:15:00,BZN|NL,11255.48,13373.2
03/01/2025 07:15:00 - 03/01/2025 07:30:00,BZN|NL,11486.09,13655.55
03/01/2025 07:30:00 - 03/01/2025 07:45:00,BZN|NL,11671.53,13844.04
03/01/2025 07:45:00 - 03/01/2025 08:00:00,BZN|NL,11844.05,14469.2
03/01/2025 08:00:00 - 03/01/2025 08:15:00,BZN|NL,11865.69,14728.25
03/01/2025 08:15:00 - 03/01/2025 08:30:00,BZN|NL,11946.39,15125.81
03/01/2025 08:30:00 - 03/01/2025 08:45:00,BZN|NL,11912.67,15266.39
03/01/2025 08:45:00 - 03/01/2025 09:00:00,BZN|NL,11933.02,15542.75
03/01/2025 09:00:00 - 03/01/2025 09:15:00,BZN|NL,11791.12,15544.97
03/01/2025 09:15:00 - 03/01/2025 09:30:00,BZN|NL,11709.52,15691.77
03/01/2025 09:30:00 - 03/01/2025 09:45:00,BZN|NL,11674.53,15782.44
03/01/2025 09:45:00 - 03/01/2025 10:00:00,BZN|NL,11555.23,15672.27
03/01/2025 10:00:00 - 03/01/2025 10:15:00,BZN|NL,11674.68,15762.97
03/01/2025 10:15:00 - 03/01/2025 10:30:00,BZN|NL,11484.71,15371.75
03/01/2025 10:30:00 - 03/01/2025 10:45:00,BZN|NL,11399.6,15439.58
03/01/2025 10:45:00 - 03/01/2025 11:00:00,BZN|NL,11287.87,15243.61
03/01/2025 11:00:00 - 03/01/2025 11:15:00,BZN|NL,11313.92,15290.86
03/01/2025 11:15:00 - 03/01/2025 11:30:00,BZN|NL,11135.31,14959.37
03/01/2025 11:30:00 - 03/01/2025 11:45:00,BZN|NL,11453.05,15278.24
03/01/2025 11:45:00 - 03/01/2025 12:00:00,BZN|NL,11289.3,15148.11
03/01/2025 12:00:00 - 03/01/2025 12:15:00,BZN|NL,11449.92,15231.68
03/01/2025 12:15:00 - 03/01/2025 12:30:00,BZN|NL,11472.17,15217.9
03/01/2025 12:30:00 - 03/01/2025 12:45:00,BZN|NL,11479.04,15285.59
03/01/2025 12:45:00 - 03/01/2025 13:00:00,BZN|NL,11429.85,15275.65
03/01/2025 13:00:00 - 03/01/2025 13:15:00,BZN|NL,11368.25,15377.4
03/01/2025 13:15:00 - 03/01/2025 13:30:00,BZN|NL,11356.92,15392.48
03/01/2025 13:30:00 - 03/01/2025 13:45:00,BZN|NL,11517,15388.72
03/01/2025 13:45:00 - 03/01/2025 14:00:00,BZN|NL,11522.75,15318.54
03/01/2025 14:00:00 - 03/01/2025 14:15:00,BZN|NL,11429.36,15606.41
03/01/2025 14:15:00 - 03/01/2025 14:30:00,BZN|NL,11479.47,15559.33
03/01/2025 14:30:00 - 03/01/2025 14:45:00,BZN|NL,11509.81,15537.31
03/01/2025 14:45:00 - 03/01/2025 15:00:00,BZN|NL,11598.3,15680.97
03/01/2025 15:00:00 - 03/01/2025 15:15:00,BZN|NL,11529.55,15558.8
03/01/2025 15:15:00 - 03/01/2025 15:30:00,BZN|NL,11640.02,15723.47
03/01/2025 15:30:00 - 03/01/2025 15:45:00,BZN|NL,11751.1,15643.35
03/01/2025 15:45:00 - 03/01/2025 16:00:00,BZN|NL,11744.31,15937.93
03/01/2025 16:00:00 - 03/01/2025 16:15:00,BZN|NL,11756.95,15694.59
03/01/2025 16:15:00 - 03/01/2025 16:30:00,BZN|NL,11780.21,16110.5
03/01/2025 16:30:00 - 03/01/2025 16:45:00,BZN|NL,11839.4,16181.15
03/01/2025 16:45:00 - 03/01/2025 17:00:00,BZN|NL,11922.31,16672.72
03/01/2025 17:00:00 - 03/01/2025 17:15:00,BZN|NL,11840.15,16830.31
03/01/2025 17:15:00 - 03/01/2025 17:30:00,BZN|NL,12050.13,17072.16
03/01/2025 17:30:00 - 03/01/2025 17:45:00,BZN|NL,12138.02,17212.62
03/01/2025 17:45:00 - 03/01/2025 18:00:00,BZN|NL,12149.5,17100.5
03/01/2025 18:00:00 - 03/01/2025 18:15:00,BZN|NL,12264.19,16818.32
03/01/2025 18:15:00 - 03/01/2025 18:30:00,BZN|NL,12276.14,16640.74
03/01/2025 18:30:00 - 03/01/2025 18:45:00,BZN|NL,12236.28,16531.68
03/01/2025 18:45:00 - 03/01/2025 19:00:00,BZN|NL,12207.61,16282.3
03/01/2025 19:00:00 - 03/01/2025 19:15:00,BZN|NL,12188.42,16098.89
03/01/2025 19:15:00 - 03/01/2025 19:30:00,BZN|NL,12134.92,15810.21
03/01/2025 19:30:00 - 03/01/2025 19:45:00,BZN|NL,12142.28,15724.45
03/01/2025 19:45:00 - 03/01/2025 20:00:00,BZN|NL,11992.5,15514.63
03/01/2025 20:00:00 - 03/01/2025 20:15:00,BZN|NL,11935.62,15585.23
03/01/2025 20:15:00 - 03/01/2025 20:30:00,BZN|NL,11800.75,15332.8
03/01/2025 20:30:00 - 03/01/2025 20:45:00,BZN|NL,11762.92,15164.45
03/01/2025 20:45:00 - 03/01/2025 21:00:00,BZN|NL,11641.8,14663.55
03/01/2025 21:00:00 - 03/01/2025 21:15:00,BZN|NL,11689,14627.54
03/01/2025 21:15:00 - 03/01/2025 21:30:00,BZN|NL,11651.6,14391.96
03/01/2025 21:30:00 - 03/01/2025 21:45:00,BZN|NL,11520.4,14348.57
03/01/2025 21:45:00 - 03/01/2025 22:00:00,BZN|NL,11423.26,14082.53
03/01/2025 22:00:00 - 03/01/2025 22:15:00,BZN|NL,11513.93,13504.63
03/01/2025 22:15:00 - 03/01/2025 22:30:00,BZN|NL,11513.15,13121.28
03/01/2025 22:30:00 - 03/01/2025 22:45:00,BZN|NL,11486.29,13040.54
03/01/2025 22:45:00 - 03/01/2025 23:00:00,BZN|NL,11359.09,12844.17
03/01/2025 23:00:00 - 03/01/2025 23:15:00,BZN|NL,11198.56,12097.73
03/01/2025 23:15:00 - 03/01/2025 23:30:00,BZN|NL,11167.84,11997.99
03/01/2025 23:30:00 - 03/01/2025 23:45:00,BZN|NL,11081.59,11885.2
03/01/2025 23:45:00 - 04/01/2025 00:00:00,BZN|NL,10886.24,11730.01
04/01/2025 00:00:00 - 04/01/2025 00:15:00,BZN|NL,11103.03,11005.7
04/01/2025 00:15:00 - 04/01/2025 00:30:00,BZN|NL,10979.06,10752.17
04/01/2025 00:30:00 - 04/01/2025 00:45:00,BZN|NL,10800.47,10561.28
04/01/2025 00:45:00 - 04/01/2025 01:00:00,BZN|NL,10444.94,10539.77
04/01/2025 01:00:00 - 04/01/2025 01:15:00,BZN|NL,10081.08,10625.27
04/01/2025 01:15:00 - 04/01/2025 01:30:00,BZN|NL,9824.27,10651.48
04/01/2025 01:30:00 - 04/01/2025 01:45:00,BZN|NL,9791.97,10871.02
04/01/2025 01:45:00 - 04/01/2025 02:00:00,BZN|NL,9624.05,10648.04
04/01/2025 02:00:00 - 04/01/2025 02:15:00,BZN|NL,9477.58,10144.7
04/01/2025 02:15:00 - 04/01/2025 02:30:00,BZN|NL,9462.35,9925.14
04/01/2025 02:30:00 - 04/01/2025 02:45:00,BZN|NL,9398.24,9716.71
04/01/2025 02:45:00 - 04/01/2025 03:00:00,BZN|NL,9295.64,9405.01
04/01/2025 03:00:00 - 04/01/2025 03:15:00,BZN|NL,9204.11,8837.17
04/01/2025 03:15:00 - 04/01/2025 03:30:00,BZN|NL,9162.93,8753.9
04/01/2025 03:30:00 - 04/01/2025 03:45:00,BZN|NL,9070.3,8796.65
04/01/2025 03:45:00 - 04/01/2025 04:00:00,BZN|NL,9097.57,8850.58
04/01/2025 04:00:00 - 04/01/2025 04:15:00,BZN|NL,8995.7,8843.83
04/01/2025 04:15:00 - 04/01/2025 04:30:00,BZN|NL,9057.63,8742.55
04/01/2025 04:30:00 - 04/01/2025 04:45:00,BZN|NL,9078.58,8887.39
