"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2026 09:15:00 - 02/01/2026 09:30:00","BZN|NL","Without Sequence","100.00","",""
"02/01/2026 09:30:00 - 02/01/2026 09:45:00","BZN|NL","Without Sequence","84.92","",""
"02/01/2026 09:45:00 - 02/01/2026 10:00:00","BZN|NL","Without Sequence","79.44","",""
"02/01/2026 10:00:00 - 02/01/2026 10:15:00","BZN|NL","Without Sequence","69.21","",""
"02/01/2026 10:15:00 - 02/01/2026 10:30:00","BZN|NL","Without Sequence","72.84","",""
"02/01/2026 10:30:00 - 02/01/2026 10:45:00","BZN|NL","Without Sequence","72.75","",""
"02/01/2026 10:45:00 - 02/01/2026 11:00:00","BZN|NL","Without Sequence","69.21","",""
"02/01/2026 11:00:00 - 02/01/2026 11:15:00","BZN|NL","Without Sequence","68.00","",""
"02/01/2026 11:15:00 - 02/01/2026 11:30:00","BZN|NL","Without Sequence","67.61","",""
"02/01/2026 11:30:00 - 02/01/2026 11:45:00","BZN|NL","Without Sequence","67.26","",""
"02/01/2026 11:45:00 - 02/01/2026 12:00:00","BZN|NL","Without Sequence","65.97","",""
"02/01/2026 12:00:00 - 02/01/2026 12:15:00","BZN|NL","Without Sequence","54.82","",""
"02/01/2026 12:15:00 - 02/01/2026 12:30:00","BZN|NL","Without Sequence","57.50","",""
"02/01/2026 12:30:00 - 02/01/2026 12:45:00","BZN|NL","Without Sequence","60.00","",""
"02/01/2026 12:45:00 - 02/01/2026 13:00:00","BZN|NL","Without Sequence","59.69","",""
"02/01/2026 13:00:00 - 02/01/2026 13:15:00","BZN|NL","Without Sequence","71.16","",""
"02/01/2026 13:15:00 - 02/01/2026 13:30:00","BZN|NL","Without Sequence","66.68","",""
"02/01/2026 13:30:00 - 02/01/2026 13:45:00","BZN|NL","Without Sequence","65.77","",""
"02/01/2026 13:45:00 - 02/01/2026 14:00:00","BZN|NL","Without Sequence","70.53","",""
"02/01/2026 14:00:00 - 02/01/2026 14:15:00","BZN|NL","Without Sequence","68.86","",""
"02/01/2026 14:15:00 - 02/01/2026 14:30:00","BZN|NL","Without Sequence","71.86","",""
"02/01/2026 14:30:00 - 02/01/2026 14:45:00","BZN|NL","Without Sequence","71.69","",""
"02/01/2026 14:45:00 - 02/01/2026 15:00:00","BZN|NL","Without Sequence","75.82","",""
"02/01/2026 15:00:00 - 02/01/2026 15:15:00","BZN|NL","Without Sequence","74.29","",""
"02/01/2026 15:15:00 - 02/01/2026 15:30:00","BZN|NL","Without Sequence","80.17","",""
"02/01/2026 15:30:00 - 02/01/2026 15:45:00","BZN|NL","Without Sequence","82.82","",""
"02/01/2026 15:45:00 - 02/01/2026 16:00:00","BZN|NL","Without Sequence","84.81","",""
"02/01/2026 16:00:00 - 02/01/2026 16:15:00","BZN|NL","Without Sequence","79.20","",""
"02/01/2026 16:15:00 - 02/01/2026 16:30:00","BZN|NL","Without Sequence","86.96","",""
"02/01/2026 16:30:00 - 02/01/2026 16:45:00","BZN|NL","Without Sequence","88.27","",""
"02/01/2026 16:45:00 - 02/01/2026 17:00:00","BZN|NL","Without Sequence","89.88","",""
"02/01/2026 17:00:00 - 02/01/2026 17:15:00","BZN|NL","Without Sequence","95.10","",""
"02/01/2026 17:15:00 - 02/01/2026 17:30:00","BZN|NL","Without Sequence","107.55","",""
"02/01/2026 17:30:00 - 02/01/2026 17:45:00","BZN|NL","Without Sequence","109.71","",""
"02/01/2026 17:45:00 - 02/01/2026 18:00:00","BZN|NL","Without Sequence","119.98","",""
"02/01/2026 18:00:00 - 02/01/2026 18:15:00","BZN|NL","Without Sequence","108.68","",""
"02/01/2026 18:15:00 - 02/01/2026 18:30:00","BZN|NL","Without Sequence","109.25","",""
"02/01/2026 18:30:00 - 02/01/2026 18:45:00","BZN|NL","Without Sequence","112.64","",""
"02/01/2026 18:45:00 - 02/01/2026 19:00:00","BZN|NL","Without Sequence","113.84","",""
"02/01/2026 19:00:00 - 02/01/2026 19:15:00","BZN|NL","Without Sequence","107.78","",""
