MTU (CET/CEST),Area,Day-ahead onshore wind (MW),Intraday onshore wind (MW),Actual onshore wind (MW)
03/01/2025 05:15:00 - 03/01/2025 05:30:00,BZN|NL,2332,2332,1633.77
03/01/2025 05:30:00 - 03/01/2025 05:45:00,BZN|NL,2408,2408,1641.07
03/01/2025 05:45:00 - 03/01/2025 06:00:00,BZN|NL,2485,2485,1662.53
03/01/2025 06:00:00 - 03/01/2025 06:15:00,BZN|NL,2563,2563,1726.02
03/01/2025 06:15:00 - 03/01/2025 06:30:00,BZN|NL,2633,2633,1878.33
03/01/2025 06:30:00 - 03/01/2025 06:45:00,BZN|NL,2697,2697,1800.45
03/01/2025 06:45:00 - 03/01/2025 07:00:00,BZN|NL,2765,2765,1812.6
03/01/2025 07:00:00 - 03/01/2025 07:15:00,BZN|NL,2828,2828,1914.8
03/01/2025 07:15:00 - 03/01/2025 07:30:00,BZN|NL,2860,2860,1993.49
03/01/2025 07:30:00 - 03/01/2025 07:45:00,BZN|NL,2856,2856,1980.02
03/01/2025 07:45:00 - 03/01/2025 08:00:00,BZN|NL,2852,2852,1961.55
03/01/2025 08:00:00 - 03/01/2025 08:15:00,BZN|NL,2848,2848,1996.43
03/01/2025 08:15:00 - 03/01/2025 08:30:00,BZN|NL,2845,2845,2071.12
03/01/2025 08:30:00 - 03/01/2025 08:45:00,BZN|NL,2838,2838,2108.57
03/01/2025 08:45:00 - 03/01/2025 09:00:00,BZN|NL,2832,2832,2086.82
03/01/2025 09:00:00 - 03/01/2025 09:15:00,BZN|NL,2826,2826,2131.6
03/01/2025 09:15:00 - 03/01/2025 09:30:00,BZN|NL,2824,2824,2127.05
03/01/2025 09:30:00 - 03/01/2025 09:45:00,BZN|NL,2824,2824,2111.17
03/01/2025 09:45:00 - 03/01/2025 10:00:00,BZN|NL,2822,2822,2055.55
03/01/2025 10:00:00 - 03/01/2025 10:15:00,BZN|NL,2825,2825,2024.61
03/01/2025 10:15:00 - 03/01/2025 10:30:00,BZN|NL,2780,2780,1974.53
03/01/2025 10:30:00 - 03/01/2025 10:45:00,BZN|NL,2693,2693,2009.14
03/01/2025 10:45:00 - 03/01/2025 11:00:00,BZN|NL,2607,2607,2012.26
03/01/2025 11:00:00 - 03/01/2025 11:15:00,BZN|NL,2521,2521,2013.53
03/01/2025 11:15:00 - 03/01/2025 11:30:00,BZN|NL,2431,2431,2101.89
03/01/2025 11:30:00 - 03/01/2025 11:45:00,BZN|NL,2344,2344,2098.6
03/01/2025 11:45:00 - 03/01/2025 12:00:00,BZN|NL,2256,2256,2150.94
03/01/2025 12:00:00 - 03/01/2025 12:15:00,BZN|NL,2168,2168,2039.31
03/01/2025 12:15:00 - 03/01/2025 12:30:00,BZN|NL,2081,2081,1962.05
03/01/2025 12:30:00 - 03/01/2025 12:45:00,BZN|NL,1994,1994,1947.36
03/01/2025 12:45:00 - 03/01/2025 13:00:00,BZN|NL,1908,1908,1968.11
03/01/2025 13:00:00 - 03/01/2025 13:15:00,BZN|NL,1820,1820,1968.15
03/01/2025 13:15:00 - 03/01/2025 13:30:00,BZN|NL,1763,1763,1976.34
03/01/2025 13:30:00 - 03/01/2025 13:45:00,BZN|NL,1728,1728,1862.87
03/01/2025 13:45:00 - 03/01/2025 14:00:00,BZN|NL,1695,1695,1728.54
03/01/2025 14:00:00 - 03/01/2025 14:15:00,BZN|NL,1661,1661,1667.73
03/01/2025 14:15:00 - 03/01/2025 14:30:00,BZN|NL,1634,1634,1510.34
03/01/2025 14:30:00 - 03/01/2025 14:45:00,BZN|NL,1606,1606,1495.84
03/01/2025 14:45:00 - 03/01/2025 15:00:00,BZN|NL,1579,1579,1588.8
03/01/2025 15:00:00 - 03/01/2025 15:15:00,BZN|NL,1553,1553,1508.15
03/01/2025 15:15:00 - 03/01/2025 15:30:00,BZN|NL,1531,1531,1344.55
03/01/2025 15:30:00 - 03/01/2025 15:45:00,BZN|NL,1513,1513,1242.17
03/01/2025 15:45:00 - 03/01/2025 16:00:00,BZN|NL,1493,1493,1255.95
03/01/2025 16:00:00 - 03/01/2025 16:15:00,BZN|NL,1475,1475,1334.83
03/01/2025 16:15:00 - 03/01/2025 16:30:00,BZN|NL,1457,1457,1162.06
03/01/2025 16:30:00 - 03/01/2025 16:45:00,BZN|NL,1442,1442,1091.33
03/01/2025 16:45:00 - 03/01/2025 17:00:00,BZN|NL,1425,1425,1168.93
03/01/2025 17:00:00 - 03/01/2025 17:15:00,BZN|NL,1411,1411,1102.38
03/01/2025 17:15:00 - 03/01/2025 17:30:00,BZN|NL,1395,1395,1145.53
03/01/2025 17:30:00 - 03/01/2025 17:45:00,BZN|NL,1380,1380,957.3
03/01/2025 17:45:00 - 03/01/2025 18:00:00,BZN|NL,1368,1368,958.42
03/01/2025 18:00:00 - 03/01/2025 18:15:00,BZN|NL,1355,1355,857.11
03/01/2025 18:15:00 - 03/01/2025 18:30:00,BZN|NL,1344,1344,727.05
03/01/2025 18:30:00 - 03/01/2025 18:45:00,BZN|NL,1337,1337,782.78
03/01/2025 18:45:00 - 03/01/2025 19:00:00,BZN|NL,1329,1329,842.68
03/01/2025 19:00:00 - 03/01/2025 19:15:00,BZN|NL,1324,1324,755.54
03/01/2025 19:15:00 - 03/01/2025 19:30:00,BZN|NL,1306,1306,570.76
03/01/2025 19:30:00 - 03/01/2025 19:45:00,BZN|NL,1279,1279,600.44
03/01/2025 19:45:00 - 03/01/2025 20:00:00,BZN|NL,1257,1257,611.46
03/01/2025 20:00:00 - 03/01/2025 20:15:00,BZN|NL,1231,1231,652.78
03/01/2025 20:15:00 - 03/01/2025 20:30:00,BZN|NL,1206,1206,726.78
03/01/2025 20:30:00 - 03/01/2025 20:45:00,BZN|NL,1179,1179,697.02
03/01/2025 20:45:00 - 03/01/2025 21:00:00,BZN|NL,1156,1156,647.84
03/01/2025 21:00:00 - 03/01/2025 21:15:00,BZN|NL,1132,1132,562.44
03/01/2025 21:15:00 - 03/01/2025 21:30:00,BZN|NL,1105,1105,537.52
03/01/2025 21:30:00 - 03/01/2025 21:45:00,BZN|NL,1080,1080,548.87
03/01/2025 21:45:00 - 03/01/2025 22:00:00,BZN|NL,1055,1055,514.64
03/01/2025 22:00:00 - 03/01/2025 22:15:00,BZN|NL,1027,1027,424.39
03/01/2025 22:15:00 - 03/01/2025 22:30:00,BZN|NL,996,996,372.34
03/01/2025 22:30:00 - 03/01/2025 22:45:00,BZN|NL,960,960,458.5
03/01/2025 22:45:00 - 03/01/2025 23:00:00,BZN|NL,926,926,452.03
03/01/2025 23:00:00 - 03/01/2025 23:15:00,BZN|NL,889,889,413.29
03/01/2025 23:15:00 - 03/01/2025 23:30:00,BZN|NL,857,857,403.75
03/01/2025 23:30:00 - 03/01/2025 23:45:00,BZN|NL,826,826,420.1
03/01/2025 23:45:00 - 04/01/2025 00:00:00,BZN|NL,791,791,438.45
04/01/2025 00:00:00 - 04/01/2025 00:15:00,BZN|NL,731,731,489.8
04/01/2025 00:15:00 - 04/01/2025 00:30:00,BZN|NL,711,711,490.17
04/01/2025 00:30:00 - 04/01/2025 00:45:00,BZN|NL,690,690,414.15
04/01/2025 00:45:00 - 04/01/2025 01:00:00,BZN|NL,669,669,417.27
04/01/2025 01:00:00 - 04/01/2025 01:15:00,BZN|NL,648,648,461.36
04/01/2025 01:15:00 - 04/01/2025 01:30:00,BZN|NL,631,631,452.44
04/01/2025 01:30:00 - 04/01/2025 01:45:00,BZN|NL,617,617,447.77
04/01/2025 01:45:00 - 04/01/2025 02:00:00,BZN|NL,602,602,410.1
04/01/2025 02:00:00 - 04/01/2025 02:15:00,BZN|NL,585,585,396.68
04/01/2025 02:15:00 - 04/01/2025 02:30:00,BZN|NL,571,571,406.36
04/01/2025 02:30:00 - 04/01/2025 02:45:00,BZN|NL,557,557,370.07
04/01/2025 02:45:00 - 04/01/2025 03:00:00,BZN|NL,544,544,371.9
04/01/2025 03:00:00 - 04/01/2025 03:15:00,BZN|NL,529,529,372.19
04/01/2025 03:15:00 - 04/01/2025 03:30:00,BZN|NL,517,517,340.99
04/01/2025 03:30:00 - 04/01/2025 03:45:00,BZN|NL,502,502,332.81
04/01/2025 03:45:00 - 04/01/2025 04:00:00,BZN|NL,487,487,349.45
