MTU (CET/CEST),Area,Day-ahead solar (MW),Intraday solar (MW),Actual solar (MW)
03/01/2025 09:15:00 - 03/01/2025 09:30:00,BZN|NL,121,121,6.81
03/01/2025 09:30:00 - 03/01/2025 09:45:00,BZN|NL,244,244,9.05
03/01/2025 09:45:00 - 03/01/2025 10:00:00,BZN|NL,361,361,16.6
03/01/2025 10:00:00 - 03/01/2025 10:15:00,BZN|NL,480,480,34.13
03/01/2025 10:15:00 - 03/01/2025 10:30:00,BZN|NL,646,646,28.22
03/01/2025 10:30:00 - 03/01/2025 10:45:00,BZN|NL,813,813,39.36
03/01/2025 10:45:00 - 03/01/2025 11:00:00,BZN|NL,977,977,35.84
03/01/2025 11:00:00 - 03/01/2025 11:15:00,BZN|NL,1142,1142,29.37
03/01/2025 11:15:00 - 03/01/2025 11:30:00,BZN|NL,1211,1211,39.06
03/01/2025 11:30:00 - 03/01/2025 11:45:00,BZN|NL,1285,1285,34.54
03/01/2025 11:45:00 - 03/01/2025 12:00:00,BZN|NL,1356,1356,24.9
03/01/2025 12:00:00 - 03/01/2025 12:15:00,BZN|NL,1426,1426,36.34
03/01/2025 12:15:00 - 03/01/2025 12:30:00,BZN|NL,1458,1458,44.69
03/01/2025 12:30:00 - 03/01/2025 12:45:00,BZN|NL,1490,1490,35.89
03/01/2025 12:45:00 - 03/01/2025 13:00:00,BZN|NL,1522,1522,40.19
03/01/2025 13:00:00 - 03/01/2025 13:15:00,BZN|NL,1554,1554,44.44
03/01/2025 13:15:00 - 03/01/2025 13:30:00,BZN|NL,1476,1476,66.84
03/01/2025 13:30:00 - 03/01/2025 13:45:00,BZN|NL,1400,1400,47.03
03/01/2025 13:45:00 - 03/01/2025 14:00:00,BZN|NL,1322,1322,41
03/01/2025 14:00:00 - 03/01/2025 14:15:00,BZN|NL,1248,1248,36.93
03/01/2025 14:15:00 - 03/01/2025 14:30:00,BZN|NL,1199,1199,35.31
03/01/2025 14:30:00 - 03/01/2025 14:45:00,BZN|NL,1152,1152,54.73
03/01/2025 14:45:00 - 03/01/2025 15:00:00,BZN|NL,1102,1102,40.64
03/01/2025 15:00:00 - 03/01/2025 15:15:00,BZN|NL,1055,1055,26.56
03/01/2025 15:15:00 - 03/01/2025 15:30:00,BZN|NL,969,969,24.09
03/01/2025 15:30:00 - 03/01/2025 15:45:00,BZN|NL,880,880,29.01
03/01/2025 15:45:00 - 03/01/2025 16:00:00,BZN|NL,793,793,15.34
03/01/2025 16:00:00 - 03/01/2025 16:15:00,BZN|NL,705,705,7.86
03/01/2025 16:15:00 - 03/01/2025 16:30:00,BZN|NL,544,544,2.79
03/01/2025 16:30:00 - 03/01/2025 16:45:00,BZN|NL,380,380,0.28
03/01/2025 16:45:00 - 03/01/2025 17:00:00,BZN|NL,220,220,0.01
03/01/2025 17:00:00 - 03/01/2025 17:15:00,BZN|NL,56,56,0
03/01/2025 17:15:00 - 03/01/2025 17:30:00,BZN|NL,43,43,0
03/01/2025 17:30:00 - 03/01/2025 17:45:00,BZN|NL,28,28,0
03/01/2025 17:45:00 - 03/01/2025 18:00:00,BZN|NL,12,12,0
03/01/2025 18:00:00 - 03/01/2025 18:15:00,BZN|NL,0,0,0
03/01/2025 18:15:00 - 03/01/2025 18:30:00,BZN|NL,0,0,0
